"GB_Accession" "Start_of_CDS" "End_of_CDS" "Type" "Product" "Protein_ID" "Gene"
"1...33" "MT945394.1" 414 1790 "CDS" "UDP-glycosyltransferase" "UHH90553.1" NA
"1...34" "MT945393.1" 350 1795 "CDS" "UDP-glycosyltransferase" "UHH90552.1" NA
"1...35" "MT945392.1" 265 1677 "CDS" "UDP-glycosyltransferase" "UHH90551.1" NA
"1...36" "MT945391.1" 207 1622 "CDS" "UDP-glycosyltransferase" "UHH90550.1" NA
"1...37" "MT945390.1" 978 1637 "CDS" "UDP-glycosyltransferase" "UHH90549.1" NA
"1...38" "MT945389.1" 58 1458 "CDS" "UDP-glycosyltransferase" "UHH90548.1" NA
"1...39" "MT945388.1" 193 1686 "CDS" "UDP-glycosyltransferase" "UHH90547.1" NA
"1...40" "MT945387.1" 1 1143 "CDS" "UDP-glycosyltransferase" "UHH90546.1" NA
"1...41" "MT945386.1" 515 1654 "CDS" "UDP-glycosyltransferase" "UHH90545.1" NA
"1...42" "MT945385.1" 103 1497 "CDS" "UDP-glycosyltransferase" "UHH90544.1" NA
"1...43" "MT945384.1" 34 1545 "CDS" "UDP-glycosyltransferase" "UHH90543.1" NA
"1...44" "MT945383.1" 2235 3686 "CDS" "UDP-glycosyltransferase" "UHH90542.1" NA
"1...45" "MT945382.1" 202 1620 "CDS" "UDP-glycosyltransferase" "UHH90541.1" NA
"1...46" "MT945381.1" 43 1374 "CDS" "UDP-glycosyltransferase" "UHH90540.1" NA
"1...47" "MT945380.1" 148 1644 "CDS" "UDP-glycosyltransferase" "UHH90539.1" NA
"1...48" "MT945379.1" 94 1530 "CDS" "UDP-glycosyltransferase" "UHH90538.1" NA
"1...49" "MT945378.1" 193 1566 "CDS" "UDP-glycosyltransferase" "UHH90537.1" NA
"1...50" "MT945377.1" 139 1611 "CDS" "UDP-glycosyltransferase" "UHH90536.1" NA
"1...51" "MT945376.1" 150 1598 "CDS" "UDP-glycosyltransferase" "UHH90535.1" NA
"1...52" "MT945375.1" 222 1634 "CDS" "UDP-glycosyltransferase" "UHH90534.1" NA
"1...53" "MT945374.1" 518 1981 "CDS" "UDP-glycosyltransferase" "UHH90533.1" NA
"1...54" "MT945373.1" 133 1620 "CDS" "UDP-glycosyltransferase" "UHH90532.1" NA
"1...55" "MT945372.1" 324 1808 "CDS" "UDP-glycosyltransferase" "UHH90531.1" NA
"1...56" "MT945371.1" 572 1807 "CDS" "UDP-glycosyltransferase" "UHH90530.1" NA
"1...57" "MT945370.1" 104 1489 "CDS" "UDP-glycosyltransferase" "UHH90529.1" NA
"1...58" "MT945369.1" 143 1594 "CDS" "UDP-glycosyltransferase" "UHH90528.1" NA
"1...59" "MT945368.1" 232 1695 "CDS" "UDP-glycosyltransferase" "UHH90527.1" NA
"1...60" "MT945367.1" 214 1692 "CDS" "UDP-glycosyltransferase" "UHH90526.1" NA
"1...61" "MT945366.1" 180 1574 "CDS" "UDP-glycosyltransferase" "UHH90525.1" NA
"1...62" "MT945365.1" 140 1615 "CDS" "UDP-glycosyltransferase" "UHH90524.1" NA
"1...63" "MT945364.1" 148 1551 "CDS" "UDP-glycosyltransferase" "UHH90523.1" NA
"1...64" "MT945363.1" 240 1658 "CDS" "UDP-glycosyltransferase" "UHH90522.1" NA
"1...65" "MT945362.1" 314 1804 "CDS" "UDP-glycosyltransferase" "UHH90521.1" NA
"1...66" "MT945361.1" 241 1614 "CDS" "UDP-glycosyltransferase" "UHH90520.1" NA
"1...67" "MT945360.1" 67 1458 "CDS" "UDP-glycosyltransferase" "UHH90519.1" NA
"1...68" "MT945359.1" 415 1893 "CDS" "UDP-glycosyltransferase" "UHH90518.1" NA
"1...69" "MT945358.1" 221 1666 "CDS" "UDP-glycosyltransferase" "UHH90517.1" NA
"1...70" "MT945357.1" 340 1731 "CDS" "UDP-glycosyltransferase" "UHH90516.1" NA
"1...71" "MT945356.1" 276 1721 "CDS" "UDP-glycosyltransferase" "UHH90515.1" NA
"1...72" "MT945355.1" 426 1763 "CDS" "UDP-glycosyltransferase" "UHH90514.1" NA
"1...73" "MT945354.1" 125 1603 "CDS" "UDP-glycosyltransferase" "UHH90513.1" NA
"1...74" "MT945353.1" 3 1397 "CDS" "UDP-glycosyltransferase" "UHH90512.1" NA
"1...75" "MT945352.1" 83 1486 "CDS" "UDP-glycosyltransferase" "UHH90511.1" NA
"1...76" "MT945351.1" 8 1453 "CDS" "UDP-glycosyltransferase" "UHH90510.1" NA
"1...77" "MT945350.1" 729 1805 "CDS" "UDP-glycosyltransferase" "UHH90509.1" NA
"1...78" "MT945349.1" 35 1627 "CDS" "UDP-glycosyltransferase" "UHH90508.1" NA
"1...79" "MT945348.1" 54 1475 "CDS" "UDP-glycosyltransferase" "UHH90507.1" NA
"1...80" "MT945347.1" 272 1699 "CDS" "UDP-glycosyltransferase" "UHH90506.1" NA
"1...81" "MT945346.1" 349 1776 "CDS" "UDP-glycosyltransferase" "UHH90505.1" NA
"1...82" "MT945345.1" 511 1707 "CDS" "UDP-glycosyltransferase" "UHH90504.1" NA
"1...83" "MT945344.1" 84 1550 "CDS" "UDP-glycosyltransferase" "UHH90503.1" NA
"1...84" "MT945343.1" 89 1531 "CDS" "UDP-glycosyltransferase" "UHH90502.1" NA
"1...85" "MT945342.1" 149 1597 "CDS" "UDP-glycosyltransferase" "UHH90501.1" NA
"1...86" "MT945341.1" 239 1675 "CDS" "UDP-glycosyltransferase" "UHH90500.1" NA
"1...87" "MT945340.1" 155 1591 "CDS" "UDP-glycosyltransferase" "UHH90499.1" NA
"1...88" "MT945339.1" 79 1443 "CDS" "UDP-glycosyltransferase" "UHH90498.1" NA
"1...89" "MT945338.1" 1479 2213 "CDS" "UDP-glycosyltransferase" "UHH90497.1" NA
"1...90" "MT945337.1" 94 1497 "CDS" "UDP-glycosyltransferase" "UHH90496.1" NA
"1...91" "MT945336.1" 105 1592 "CDS" "UDP-glycosyltransferase" "UHH90495.1" NA
"1...92" "MT945335.1" 367 1782 "CDS" "UDP-glycosyltransferase" "UHH90494.1" NA
"1...93" "MT945334.1" 98 1474 "CDS" "UDP-glycosyltransferase" "UHH90493.1" NA
"1...94" "MT945333.1" 359 1816 "CDS" "UDP-glycosyltransferase" "UHH90492.1" NA
"1...95" "MT945332.1" 37 1398 "CDS" "UDP-glycosyltransferase" "UHH90491.1" NA
"1...96" "MT945331.1" 33 1520 "CDS" "UDP-glycosyltransferase" "UHH90490.1" NA
"1...97" "MT945330.1" 407 1852 "CDS" "UDP-glycosyltransferase" "UHH90489.1" NA
"1...98" "MT945329.1" 76 1500 "CDS" "UDP-glycosyltransferase" "UHH90488.1" NA
"1...99" "MT945328.1" 94 1551 "CDS" "UDP-glycosyltransferase" "UHH90487.1" NA
"1...100" "MT945327.1" 328 1758 "CDS" "UDP-glycosyltransferase" "UHH90486.1" NA
"1...101" "MT945326.1" 436 1866 "CDS" "UDP-glycosyltransferase" "UHH90485.1" NA
"1...102" "MT945325.1" 156 1526 "CDS" "UDP-glycosyltransferase" "UHH90484.1" NA
"1...103" "MT945324.1" 59 1486 "CDS" "UDP-glycosyltransferase" "UHH90483.1" NA
"1...104" "MT945323.1" 71 1453 "CDS" "UDP-glycosyltransferase" "UHH90482.1" NA
"1...105" "MT945322.1" 132 1502 "CDS" "UDP-glycosyltransferase" "UHH90481.1" NA
"1...106" "OL598871.1" 1 2439 "gene" "bZIP28B protein" "UGZ04769.1" "bZIP28B"
"1...107" "OL598870.1" 1 2415 "gene" "bZIP28A protein" "UGZ04768.1" "bZIP28A"
"1...108" "OL598869.1" 1 2259 "gene" "bZIP17 protein" "UGZ04767.1" "bZIP17"
"1...109" "MT936564.1" 1 2982 "gene" "poly [ADP-ribose] polymerase 1" "UFI08160.1" "PARP1"
"1...110" "MT936563.1" 1 1965 "gene" "cyclophilin peptidyl-prolyl cis-trans isomerase" "UFI08159.1" "CYP72"
"1...111" "LC659235.1" 1 951 "gene" "aminocyclopropanecarboxylate oxidase 2b" NA "NbACO2b"
"1...112" "MW465315.1" 1 852 "CDS" "tobamovirus multiplication protein 2A" "UDM84120.1" "Nbe555684"
"1...113" "OK172328.1" 1 498 "gene" "xanthine dehydrogenase" "UBK24969.1" "XDH"
"1...114" "MW458937.1" 1 624 "CDS" "chloroplast photosystem I reaction center subunit II-like protein" "UBK24966.1" "PsaD"
"1...115" "MW458936.1" 1 687 "CDS" "chloroplast photosystem I reaction center subunit III-like protein" "UBK24965.1" "PasF"
"1...116" "MW458935.1" 1 510 "CDS" "chloroplast plastocyanin A" "UBK24964.1" "PetE"
"1...117" "MT900576.1" 1 714 "gene" "asparagine synthetase B" "UBK24963.1" "AS-B"
"1...118" "MT799811.1" 1 999 "CDS" "chloroplast PsbO" "UBK24962.1" NA
"1...119" "MW924094.1" 1 1419 "CDS" "leucine-rich repeat receptor-like protein" "QZL10981.1" "NbRLP1"
"1...120" "MW924093.1" 1 2910 "CDS" "leucine-rich repeat receptor-like protein" "QZL10980.1" "NbRLP1"
"1...121" "MZ423213.1" 1 675 "gene" "m6A methyltransferase" "QYD01611.1" "METTL1"
"1...122" "MW091551.1" 1 1746 "gene" "transport inhibitor response 1" "QWS72489.1" "TIR1"
"1...123" "MW091550.1" 1 687 "CDS" "auxin-responsive protein IAA29" "QWS72488.1" "AUX/IAA29"
"1...124" "MN746383.1" 1 3306 "gene" "calmodulin-binding transcription activator 3" "QUW16852.1" "CAMTA3"
"1...125" "MW600635.1" 1 786 "CDS" "peptidyl-prolyl cis-trans isomerase FKBP17-2" "QUV77541.1" NA
"1...126" "MN746382.3" 1 975 "gene" "bifunctional nuclease 2" "QRN56054.3" "BN2"
"1...127" "MN746381.1" 1 450 "gene" "calmodulin" "QNN89062.1" "CaM6"
"1...128" "MN746380.1" 1 450 "gene" "calmodulin" "QNN89061.1" "CaM1"
"1...129" "MN746379.1" 1 450 "gene" "calmodulin" "QNN89060.1" "CaM3"
"1...130" "HG993868.1" 1 1803 "gene" "beta-hexosaminidase" NA "HEXO2"
"1...131" "LC543535.1" 1 3416 "gene" NA NA "NbPDSb"
"2...132" "LC543535.1" 1 3322 "misc_feature" NA NA NA
"3...133" "LC543535.1" 3323 3416 "CDS" "phytoene desaturase" NA NA
"1...134" "LC543534.1" 1 3348 "gene" NA NA "NbPDSa"
"2...135" "LC543534.1" 1 3260 "misc_feature" NA NA NA
"3...136" "LC543534.1" 3261 3348 "CDS" "phytoene desaturase" NA NA
"1...137" "LC543533.1" 1 1749 "gene" "phytoene desaturase" NA "NbPDSb"
"1...138" "LC543532.1" 1 1761 "gene" "phytoene desaturase" NA "NbPDSa"
"1...139" "MT623393.1" 1 3060 "gene" "leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1" "QTT01315.1" "BAM1"
"1...140" "MW524057.1" 1 1073 "gene" NA NA "P4H10"
"2...141" "MW524057.1" 114 986 "CDS" "prolyl 4-hydroxylase 10" "QSV12668.1" NA
"1...142" "MW524056.1" 1 1036 "gene" NA NA "P4H9"
"2...143" "MW524056.1" 128 997 "CDS" "prolyl 4-hydroxylase 9" "QSV12667.1" NA
"1...144" "MW524055.1" 1 988 "gene" NA NA "P4H4"
"2...145" "MW524055.1" 79 963 "CDS" "prolyl 4-hydroxylase 4" "QSV12666.1" NA
"1...146" "MW524054.1" 1 1054 "gene" NA NA "P4H1"
"2...147" "MW524054.1" 100 960 "CDS" "prolyl 4-hydroxylase 1" "QSV12665.1" NA
"1...148" "MW455172.1" 1 1260 "gene" "MIP1.2b" "QSS48599.1" "MIP1.2b"
"1...149" "MT408913.1" 1 1455 "gene" "sucrose nonfermenting 4-like protein" "QPW18807.1" "AKINbetagamma"
"1...150" "LR961922.1" 240 1328 "gene" "C1RGP" NA "NbC1RGP"
"1...151" "MN580548.1" 1 768 "gene" "putative WRKY transcription factor 40" "QPP11403.1" "WRKY40"
"1...152" "MT107162.1" 1 933 "gene" "m6A methyltransferase" "QPC97719.1" "METTL2"
"1...153" "MN535003.1" 1 2304 "CDS" "SBT8" "QOQ34361.1" "subtilisin-like serine protease"
"1...154" "MN535005.1" 1 2454 "CDS" "SBT10" "QOQ34363.1" "subtilisin-like serine protease"
"1...155" "MN535004.1" 1 2307 "CDS" "SBT9" "QOQ34362.1" "subtilisin-like serine protease"
"1...156" "MN535002.1" 1 2325 "CDS" "SBT7" "QOQ34360.1" "subtilisin-like serine protease"
"1...157" "MN535001.1" 1 2235 "CDS" "SBT6" "QOQ34359.1" "subtilisin-like serine protease"
"1...158" "MN535000.1" 1 2301 "CDS" "SBT5" "QOQ34358.1" "subtilisin-like serine protease"
"1...159" "MN534999.1" 1 2298 "CDS" "SBT4" "QOQ34357.1" "subtilisin-like serine protease"
"1...160" "MN534998.1" 1 2295 "CDS" "SBT3" "QOQ34356.1" "subtilisin-like serine protease"
"1...161" "MN534997.1" 1 2280 "CDS" "SBT2" "QOQ34355.1" "subtilisin-like serine protease"
"1...162" "MN534996.1" 1 2313 "CDS" "SBT1" "QOQ34354.1" "subtilisin-like serine protease"
"1...163" "MT701526.1" 1 3333 "gene" "argonaute 1b" "QOP58841.1" "AGO1B"
"1...164" "MT701525.1" 1 3177 "gene" "argonaute 1a" "QOP58840.1" "AGO1A"
"1...165" "MT912542.1" 1 1578 "CDS" "AP2" "QOE83971.1" "APET ALA2"
"1...166" "MK935566.1" 1 3231 "CDS" "XPO1b" "QEL13145.1" "NbXPO1b"
"1...167" "MK935565.1" 1 3234 "CDS" "XPO1a" "QEL13144.1" "NbXPO1a"
"1...168" "MT363966.1" 1 1371 "CDS" "casein kinase 1.13" "QLJ57720.1" "NbCK1.13"
"1...169" "MT363965.1" 1 1269 "CDS" "casein kinase 1.7" "QLJ57719.1" "NbCK1.7"
"1...170" "MT363964.1" 1 1419 "CDS" "casein kinase 1.4" "QLJ57718.1" "NbCK1.4"
"1...171" "MT363963.1" 1 1416 "CDS" "casein kinase 1.3" "QLJ57717.1" "NbCK1.3"
"1...172" "AB201544.1" 1 844 "gene" NA NA "NbNACa1"
"2...173" "AB201544.1" 64 669 "CDS" "alpha chain of nascent polypeptide associated complex" NA "interacts with Brome mosaic virus movement protein"
"1...174" "MT134102.1" 1 2475 "gene" "coiled-coil nucleotide-binding leucine-rich repeat protein" "QJW71466.1" "Ptr1a"
"1...175" "MN594539.1" 1 1995 "CDS" "DNA-binding bromodomain-containing protein" "QJS39940.1" "NbDBCP"
"1...176" "MN365024.1" 1 1530 "CDS" "ATP synthase F1 subunit 1" "QIS68115.1" NA
"1...177" "LC422831.1" 1 1698 "gene" "phospholipase C" NA "NbPLC2"
"1...178" "MK189281.1" 1 363 "CDS" "ATG8h" "QEM21008.1" "NbATG8h"
"1...179" "MK424843.1" 1 795 "gene" "Proliferating cell nuclear antigen protein" "QDQ36648.1" "PCNA"
"1...180" "MK424842.1" 1 795 "gene" "Proliferating cell nuclear antigen protein" "QDQ36647.1" "PCNA"
"1...181" "MK689228.1" 1 1170 "gene" "chalcone synthase 1" "QDJ00495.1" "CHAL1"
"1...182" "MK689227.1" 1 909 "gene" "isoflavone reductase 1" "QDJ00494.1" "IFR1"
"1...183" "MK689226.1" 1 2154 "gene" "ammonia-lyase 4" "QDJ00493.1" "PAL4"
"1...184" "MF996340.1" 1 2265 "gene" NA NA "PP2Aa-2"
"2...185" "MF996340.1" 96 1841 "CDS" "PP2A scaffolding/structural subunit beta isoform" "AYM94668.1" "NbPP2Aa-2"
"1...186" "MF996339.1" 1 2267 "gene" NA NA "PP2Aa-1"
"2...187" "MF996339.1" 1 1764 "CDS" "PP2A scaffolding/structural subunit A alpha isoform" "AYM94667.1" "NbPP2Aa-1"
"1...188" "LC171418.1" 1 9419 "gene" NA NA "NbEXA1"
"2...189" "LC171418.1" 1 49 "CDS" NA NA NA
"3...190" "LC171418.1" 2706 2794 NA NA NA NA
"4...191" "LC171418.1" 2989 3891 NA NA NA NA
"5...192" "LC171418.1" 3992 4112 NA NA NA NA
"6...193" "LC171418.1" 4228 4287 NA NA NA NA
"7...194" "LC171418.1" 4699 5472 NA NA NA NA
"8...195" "LC171418.1" 5631 8340 NA NA NA NA
"9...196" "LC171418.1" 8430 8623 NA NA NA NA
"10...197" "LC171418.1" 8743 8802 NA NA NA NA
"11...198" "LC171418.1" 9229 9419 NA "essential for potexvirus accumulation 1" NA NA
"1...199" "MK903618.1" 1 2409 "CDS" "coilin" "QGT31468.1" "cajal body protein"
"1...200" "MK101125.1" 1 750 "CDS" "Bax inhibitor 1" "QFI57757.1" "NbBI-1a"
"1...201" "MK692737.1" 1 2646 "gene" "NLR-required for cell death 4" "QER78241.1" "NRC4"
"1...202" "MK692736.1" 1 2667 "gene" "NLR-required for cell death 3" "QER78240.1" "NRC3"
"1...203" "MK780770.1" 100 540 "CDS" "MLP-like protein 43" "QEH62706.1" NA
"1...204" "MK780769.1" 1 444 "CDS" "MLP-like protein 28" "QEH62705.1" NA
"1...205" "MK391405.1" 1 957 "CDS" "chorismate mutase 1" "QDZ38304.1" NA
"1...206" "MK391404.1" 1 1299 "CDS" "prephenate dehydratase" "QDZ38303.1" NA
"1...207" "MN125606.1" 1 1494 "gene" "small RNA degrading nuclease 1a" "QDM36925.1" "SDN1a"
"1...208" "MN125605.1" 1 3333 "gene" "argonaute 1b" "QDM36924.1" "AGO1b"
"1...209" "MN125604.1" 1 3177 "gene" "argonaute 1a" "QDM36923.1" "AGO1a"
"1...210" "MN125603.1" 1 2967 "gene" "argonaute 10a" "QDM36922.1" "AGO10a"
"1...211" "MK140810.1" 1 1347 "CDS" "PBS1b" "QCX41836.1" NA
"1...212" "MK140809.1" 1 1347 "CDS" "PBS1a" "QCX41835.1" NA
"1...213" "MK070896.1" 1 543 "gene" "ribulose-1,5-bisphosphate carboxylase/oxygenase small subunit" "QCS40508.1" "rbcS"
"1...214" "MK044797.1" 1 330 "CDS" "Huntingtin-interacting protein K-like protein" "QCI62320.1" NA
"1...215" "MH898886.1" 1 2460 "gene" "alpha-1,2-L-fucosidase" "QCH41104.1" "XFUC1"
"1...216" "MF156692.1" 1 639 "gene" "GLOBOSA2" "AWD93715.1" "GLO2"
"1...217" "MF156691.1" 1 660 "gene" NA NA "GLO1"
"2...218" "MF156691.1" 28 660 "CDS" "GLOBOSA1" "AWD93714.1" NA
"1...219" "MH820374.1" 1 714 "gene" "stem-specific protein" "QCC72449.1" "LSP"
"1...220" "MK472713.1" 1 798 "CDS" "chloroplastic PsbP1" "QCC62342.1" NA
"1...221" "MH939184.1" 1 1647 "CDS" "5-epi-aristolochene synthase" "QBM78334.1" NA
"1...222" "MK164281.1" 1 360 "CDS" "lipid transfer protein 1" "QBK46787.1" NA
"1...223" "MG753987.1" 1 900 "CDS" "bZIP60 transcription factor 60" "QBA30963.1" "NbbZIP60"
"1...224" "LC369496.1" 1 987 "gene" "receptor for activated C kinase 1" NA "NbRACK1"
"1...225" "MH511674.1" 1 1086 "CDS" "chloroplast ferredoxin-NADP+ oxidoreductase" "QAV53876.1" "NbFNR"
"1...226" "MG733108.1" 1 273 "CDS" "ATG8f3" "QAR18130.1" "NbATG8f3"
"1...227" "MG733107.1" 1 369 "CDS" "ATG8f2" "QAR18129.1" "NbATG8f2"
"1...228" "MG733106.1" 1 369 "CDS" "ATG8f1" "QAR18128.1" "NbATG8f1"
"1...229" "MG733105.1" 1 360 "CDS" "ATG8e2" "QAR18127.1" "NbATG8e2"
"1...230" "MG733104.1" 1 414 "CDS" "ATG8e1" "QAR18126.1" "NbATG8e1"
"1...231" "MG733103.1" 1 372 "CDS" "ATG8c3" "QAR18125.1" "NbATG8c3"
"1...232" "MG733102.1" 1 354 "CDS" "ATG8c2" "QAR18124.1" "NbATG8c2"
"1...233" "MG733101.1" 1 372 "CDS" "ATG8c1" "QAR18123.1" "NbATG8c1"
"1...234" "MG733100.1" 1 759 "CDS" "TIP1" "QAR18122.1" "NbTIP1"
"1...235" "MG710800.1" 1 2532 "CDS" "NBR1" "AZZ69449.1" "NbNBR1"
"1...236" "KY402213.1" 1 2055 "CDS" "PARN" "APX61427.1" "NbPARN"
"1...237" "KY402212.1" 1 2949 "CDS" "XRN4" "APX61426.1" "NbXRN4"
"1...238" "KY402211.1" 1 966 "CDS" "DCP2" "APX61425.1" "NbDCP2"
"1...239" "KY402210.1" 1 1113 "CDS" "DCP1" "APX61424.1" "NbDCP1"
"1...240" "MH476459.1" 1 2715 "CDS" "argonaute 4" "AZQ24789.1" "AGO4"
"1...241" "MG637440.1" 1 689 "gene" "APETALA1" "AWD93842.1" "AP1"
"1...242" "LC434546.1" 1 3231 "gene" "exportin1-2b" NA "NbXpo1-2b"
"1...243" "LC434545.1" 1 3234 "gene" "exportin1-2a" NA "NbXpo1-2a"
"1...244" "LC434544.1" 1 3231 "gene" "exportin1-1b" NA "NbXpo1-1b"
"1...245" "LC434543.1" 1 3231 "gene" "exportin1-1a" NA "NbXpo1-1a"
"1...246" "LQ979018.1" 1 1536 "CDS" NA NA NA
"2...247" "LQ979018.1" 910 910 "variation" NA NA NA
"1...248" "LQ979016.1" 1 1545 "CDS" NA NA NA
"2...249" "LQ979016.1" 224 224 "variation" NA NA NA
"1...250" "LQ979013.1" 1 1545 "CDS" NA NA NA
"1...251" "LQ979010.1" 1 1380 "CDS" NA NA NA
"1...252" "LQ979007.1" 1 1503 "CDS" NA NA NA
"1...253" "LC382284.1" 1 1050 "gene" "S-adenosyl-L-Met-dependent C-24 sterol methyltransferase" NA "NbSMT1b"
"1...254" "LC382283.1" 1 1041 "gene" "S-adenosyl-L-Met-dependent C-24 sterol methyltransferase" NA "NbSMT1a"
"1...255" "LC382282.1" 1 1710 "gene" "sterol side chain reductase" NA "NbSSR2b"
"1...256" "LC382281.1" 1 1710 "gene" "sterol side chain reductase" NA "NbSSR2a"
"1...257" "LC382280.1" 1 2274 "gene" "cycloartenol synthase" NA "NbCAS1b"
"1...258" "LC382279.1" 1 2274 "gene" "cycloartenol synthase" NA "NbCAS1a"
"1...259" "LC382278.1" 1 1158 "gene" "mevalonate kinase" NA "NbMVKb"
"1...260" "LC382277.1" 1 1158 "gene" "mevalonate kinase" NA "NbMVKa"
"1...261" "LC382276.1" 1 1989 "gene" "3-hydroxy-3-methylglutaryl-CoA reductase" NA "NbHMGR2a"
"1...262" "LC382275.1" 1 1818 "gene" "3-hydroxy-3-methylglutaryl-CoA reductase" NA "NbHMGR1b"
"1...263" "LC382274.1" 1 1818 "gene" "3-hydroxy-3-methylglutaryl-CoA reductase" NA "NbHMGR1a"
"1...264" "LC382273.1" 1 1389 "gene" "3-hydroxy-3-methylglutaryl-CoA synthase" NA "NbHMGSb"
"1...265" "LC382272.1" 1 1389 "gene" "3-hydroxy-3-methylglutaryl-CoA synthase" NA "NbHMGSa"
"1...266" "MG729206.1" 1 891 "gene" "SYNV P interacting NAC transcription factor" "AYC63433.1" "SPINTF"
"1...267" "MH532571.1" 1 1038 "gene" "receptor-like cytoplasmic kinase" "AXY05281.1" "JIM2"
"1...268" "MH532570.1" 1 2538 "gene" "nucleotide binding leucine rich repeat protein" "AXY05280.1" "ZAR1"
"1...269" "MH544653.1" 1 1923 "gene" "phosphatidylinositol 4-kinase type 2" "AXU38887.1" "PI4K2"
"1...270" "MG591461.1" 1 2343 "gene" "CLC-1b" "AXR75223.1" "CLC-1b"
"1...271" "MG591460.1" 1 2349 "gene" "CLC-1a" "AXR75222.1" "CLC-1a"
"1...272" "LC422005.1" 1 660 "gene" "small GTPase Ran3" NA "NbRan3"
"1...273" "LC422004.1" 1 666 "gene" "small GTPase Ran2" NA "NbRan2"
"1...274" "LC422003.1" 1 666 "gene" "small GTPase Ran1b" NA "NbRan1b"
"1...275" "LC422002.1" 1 666 "gene" "small GTPase Ran1a" NA "NbRan1a"
"1...276" "LC422001.1" 1 669 "gene" "Ran binding protein RanBP1-3" NA "NbRanBP1-3"
"1...277" "LC422000.1" 1 666 "gene" "Ran binding protein RanBP1-2b" NA "NbRanBP1-2b"
"1...278" "LC421999.1" 1 654 "gene" "Ran binding protein RanBP1-2a" NA "NbRanBP1-2a"
"1...279" "LC421998.1" 1 663 "gene" "Ran binding protein RanBP1-1b" NA "NbRanBP1-1b"
"1...280" "LC421997.1" 1 651 "gene" "Ran binding protein RanBP1-1a" NA "NbRanBP1-1a"
